credit_score,income,existing_debt,payment_history,target
3.2,47321,49.12,78.16,0
3.7,51439,64.28,60.34,0
1.1,121035,66.08,53.35,1
2.9,159553,58.36,47.7,1
3.7,179206,48.75,41.62,1
3.6,83827,63.96,37.82,0
3.2,38528,49.3,33.24,0
1.0,175218,53.73,44.28,1
4.4,69767,16.19,27.24,0
3.7,55857,86.52,46.13,0
3.5,95877,28.9,39.27,0
2.3,69727,50.79,44.5,0
2.5,73264,36.33,26.85,0
1.2,33306,53.42,41.48,0
1.6,158614,43.35,59.55,1
2.7,138063,64.56,58.66,1
3.1,77817,42.18,73.57,0
4.7,176144,48.13,48.45,1
4.3,145127,49.63,37.81,1
1.2,160738,48.49,43.18,1
4.0,119148,46.59,34.5,1
4.0,134335,55.7,63.88,1
3.8,120885,44.19,54.36,1
3.7,54970,77.04,50.03,0
2.5,128806,69.53,57.76,1
4.6,53237,42.42,46.05,0
3.8,139898,37.18,80.85,1
3.9,127793,27.02,32.35,1
3.1,174177,80.15,33.66,1
4.0,163822,58.02,26.65,1
4.3,59064,17.29,59.39,0
2.5,66583,77.2,53.51,0
1.8,68885,61.29,29.97,0
2.3,169189,57.1,58.51,1
2.6,118304,47.19,43.96,1
2.8,171930,68.08,46.37,1
3.5,147909,44.33,59.55,1
2.6,136337,41.4,43.48,1
2.4,114532,67.49,80.12,1
1.4,79742,47.13,36.4,0
4.1,167918,40.39,54.68,1
1.4,144318,26.05,46.62,1
2.8,35264,51.07,63.96,0
3.5,125164,44.13,43.99,1
4.8,87224,24.12,26.83,0
4.5,153177,39.42,25.42,1
4.1,44621,29.73,58.47,0
3.4,56492,52.19,11.03,0
2.4,144146,65.79,43.65,1
1.8,153432,58.1,42.36,1
4.4,113294,55.41,42.3,1
2.6,137959,69.43,38.69,1
1.3,35804,54.15,64.08,0
3.0,49052,42.47,22.71,0
3.0,163921,61.41,59.25,1
1.3,53906,35.99,61.51,0
1.8,130963,62.29,32.35,1
2.6,103872,62.94,12.94,0
4.2,40993,45.66,58.17,0
1.7,40477,57.6,63.9,0
1.6,58171,66.89,61.72,0
3.5,80165,45.02,27.61,0
1.7,140234,59.46,37.53,1
2.3,31568,33.78,53.7,0
1.4,109827,49.06,34.32,0
1.3,62543,22.76,47.39,0
3.0,78210,54.3,35.63,0
2.9,74612,43.37,45.22,0
4.2,48498,66.76,48.99,0
2.1,49118,52.48,61.35,0
2.3,154220,59.83,59.05,1
2.2,87329,37.21,37.53,0
4.9,87620,71.86,40.85,0
3.4,80681,35.23,46.24,0
2.4,137191,51.2,83.7,1
4.9,66197,35.2,40.57,0
3.8,143925,55.26,59.31,1
1.3,32362,48.45,65.04,0
3.7,179358,44.17,35.61,1
2.8,43545,39.13,52.51,0
1.5,57105,51.12,25.44,0
4.8,104551,65.76,48.25,1
2.9,154206,64.0,67.97,1
3.3,164881,79.02,46.58,1
4.5,73011,60.06,47.04,0
1.1,61320,22.4,27.89,0
1.9,146373,63.34,34.25,1
3.4,62729,56.3,39.96,0
3.8,149771,38.06,32.32,1
1.1,134684,65.68,28.36,1
1.7,116637,37.23,47.44,1
3.0,42501,51.2,40.75,0
4.8,109481,47.35,54.23,1
4.4,128145,55.99,61.61,1
4.4,133870,39.42,43.15,1
2.6,72795,57.38,66.79,0
3.0,55043,46.34,19.36,0
4.5,171096,44.8,43.36,1
3.3,140394,36.76,63.67,1
3.3,46682,51.98,51.38,0
